INFO 2012-08-17 17:04:52,167 views 3084 2244 load_photo
INFO 2012-08-17 17:04:52,323 views 3084 2244 Got file: "IMG_0515_1_1.JPG"
INFO 2012-08-17 17:04:52,421 views 3084 2244 File saving done
INFO 2012-08-17 17:05:57,517 views 3084 2944 load_photo
INFO 2012-08-17 17:05:57,548 views 3084 2944 Got file: "IMG_0515_2_1_4.JPG"
INFO 2012-08-17 17:05:57,663 views 3084 2944 File saving done
INFO 2012-08-17 17:06:03,115 views 3084 3564 load_photo
INFO 2012-08-17 17:06:03,150 views 3084 3564 Got file: "IMG_0515_3_1.JPG"
INFO 2012-08-17 17:06:03,305 views 3084 3564 File saving done
INFO 2012-08-17 17:06:08,618 views 3084 4984 load_photo
INFO 2012-08-17 17:06:08,654 views 3084 4984 Got file: "IMG_0515_1_1.JPG"
INFO 2012-08-17 17:06:08,757 views 3084 4984 File saving done
INFO 2012-08-17 17:06:17,007 views 3084 3088 load_photo
INFO 2012-08-17 17:06:17,017 views 3084 4088 load_photo
INFO 2012-08-17 17:06:17,030 views 3084 2644 load_photo
INFO 2012-08-17 17:06:17,032 views 3084 2944 load_photo
INFO 2012-08-17 17:06:17,036 views 3084 3480 load_photo
INFO 2012-08-17 17:06:17,036 views 3084 2336 load_photo
INFO 2012-08-17 17:06:17,036 views 3084 384 load_photo
INFO 2012-08-17 17:06:17,135 views 3084 4088 Got file: "980u_1.jpg"
INFO 2012-08-17 17:06:17,135 views 3084 3088 Got file: "980u.jpg"
INFO 2012-08-17 17:06:17,135 views 3084 2644 Got file: "980u_1_1.jpg"
INFO 2012-08-17 17:06:17,155 views 3084 384 Got file: "980u_2_1_1.jpg"
INFO 2012-08-17 17:06:17,187 views 3084 2944 Got file: "980u_2.jpg"
INFO 2012-08-17 17:06:17,197 views 3084 3480 Got file: "980u_2_1.jpg"
INFO 2012-08-17 17:06:17,200 views 3084 2336 Got file: "980u_2_1_1_1.jpg"
INFO 2012-08-17 17:06:17,362 views 3084 4088 File saving done
INFO 2012-08-17 17:06:17,510 views 3084 2944 File saving done
INFO 2012-08-17 17:06:17,696 views 3084 3480 File saving done
INFO 2012-08-17 17:06:17,872 views 3084 2336 File saving done
INFO 2012-08-17 17:06:18,591 views 3084 384 File saving done
INFO 2012-08-17 17:06:19,915 views 3084 2644 File saving done
INFO 2012-08-17 17:06:20,403 views 3084 3088 File saving done
INFO 2012-08-17 17:09:22,882 views 3084 2184 load_photo
INFO 2012-08-17 17:09:23,017 views 3084 2184 Got file: "IMG_0515_2_1_1_1.JPG"
INFO 2012-08-17 17:09:23,105 views 3084 2184 File saving done
INFO 2012-08-17 17:11:15,372 views 3084 3424 load_photo
INFO 2012-08-17 17:11:15,427 views 3084 3424 Got file: "IMG_0515_2.JPG"
INFO 2012-08-17 17:11:15,568 views 3084 3424 File saving done
INFO 2012-08-17 17:12:17,368 views 3084 4412 load_photo
INFO 2012-08-17 17:12:17,506 views 3084 4412 Got file: "IMG_0517_3_2.JPG"
INFO 2012-08-17 17:12:17,658 views 3084 4412 File saving done
INFO 2012-08-17 17:12:52,147 views 3084 4288 load_photo
INFO 2012-08-17 17:12:52,242 views 3084 4288 Got file: "IMG_0515_3_2.JPG"
INFO 2012-08-17 17:12:54,016 views 3084 4288 File saving done
INFO 2012-08-17 17:13:43,115 views 3084 3372 load_photo
INFO 2012-08-17 17:13:43,160 views 3084 3372 Got file: "IMG_0515_3_1.JPG"
INFO 2012-08-17 17:13:43,982 views 3084 3372 File saving done
INFO 2012-08-17 17:15:14,868 views 3084 3100 load_photo
INFO 2012-08-17 17:15:14,911 views 3084 3100 Got file: "IMG_0515_1_3.JPG"
INFO 2012-08-17 17:15:15,789 views 3084 3100 File saving done
INFO 2012-08-17 17:17:54,572 views 3084 3372 load_photo
INFO 2012-08-17 17:17:54,604 views 3084 3372 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 17:17:54,826 views 3084 3372 File saving done
INFO 2012-08-17 17:18:49,869 views 3084 4892 load_photo
INFO 2012-08-17 17:18:49,880 views 3084 4892 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 17:18:50,002 views 3084 4892 File saving done
INFO 2012-08-17 17:20:59,857 views 3084 3896 load_photo
INFO 2012-08-17 17:20:59,868 views 3084 3896 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 17:20:59,959 views 3084 3896 File saving done
INFO 2012-08-17 17:21:04,607 views 3084 1156 load_photo
INFO 2012-08-17 17:21:04,617 views 3084 1156 Got file: "IMG_16082012_175902.png"
INFO 2012-08-17 17:21:04,707 views 3084 1156 File saving done
INFO 2012-08-17 17:21:31,911 views 3084 2844 load_photo
INFO 2012-08-17 17:21:31,911 views 3084 2752 load_photo
INFO 2012-08-17 17:21:31,911 views 3084 4980 load_photo
INFO 2012-08-17 17:21:31,951 views 3084 2844 Got file: "980u_3.jpg"
INFO 2012-08-17 17:21:31,954 views 3084 4980 Got file: "980u_3_1_1.jpg"
INFO 2012-08-17 17:21:31,954 views 3084 2752 Got file: "980u_3_1.jpg"
INFO 2012-08-17 17:21:32,032 views 3084 2844 File saving done
INFO 2012-08-17 17:21:32,207 views 3084 2752 File saving done
INFO 2012-08-17 17:21:33,430 views 3084 4980 File saving done
INFO 2012-08-17 17:29:40,532 views 3084 416 load_photo
INFO 2012-08-17 17:29:40,677 views 3084 416 Got file: "980u_3.jpg"
INFO 2012-08-17 17:29:41,111 views 3084 416 File saving done
INFO 2012-08-17 17:29:50,450 views 3084 3700 load_photo
INFO 2012-08-17 17:29:50,450 views 3084 3984 load_photo
INFO 2012-08-17 17:29:50,460 views 3084 3916 load_photo
INFO 2012-08-17 17:29:50,476 views 3084 3240 load_photo
INFO 2012-08-17 17:29:50,476 views 3084 2852 load_photo
INFO 2012-08-17 17:29:50,476 views 3084 4572 load_photo
INFO 2012-08-17 17:29:50,568 views 3084 3972 load_photo
INFO 2012-08-17 17:29:50,598 views 3084 3844 load_photo
INFO 2012-08-17 17:29:50,598 views 3084 3992 load_photo
INFO 2012-08-17 17:29:50,598 views 3084 160 load_photo
INFO 2012-08-17 17:29:50,598 views 3084 940 load_photo
INFO 2012-08-17 17:29:50,598 views 3084 4032 load_photo
INFO 2012-08-17 17:29:50,598 views 3084 1940 load_photo
INFO 2012-08-17 17:29:50,598 views 3084 3372 load_photo
INFO 2012-08-17 17:29:50,598 views 3084 1084 load_photo
INFO 2012-08-17 17:29:50,598 views 3084 5012 load_photo
INFO 2012-08-17 17:29:50,740 views 3084 4572 Got file: "980u_2_2_3_1.jpg"
INFO 2012-08-17 17:29:50,740 views 3084 2852 Got file: "980u_2_2_4.jpg"
INFO 2012-08-17 17:29:50,740 views 3084 3700 Got file: "980u_2_2_1_1.jpg"
INFO 2012-08-17 17:29:50,740 views 3084 3984 Got file: "980u_2_2_2.jpg"
INFO 2012-08-17 17:29:50,740 views 3084 3916 Got file: "980u_2_2_2_1.jpg"
INFO 2012-08-17 17:29:50,740 views 3084 3240 Got file: "980u_2_2_3.jpg"
INFO 2012-08-17 17:29:50,763 views 3084 3972 Got file: "980u_2_3.jpg"
INFO 2012-08-17 17:29:50,766 views 3084 3992 Got file: "980u_2_5.jpg"
INFO 2012-08-17 17:29:50,815 views 3084 4572 File saving done
INFO 2012-08-17 17:29:50,822 views 3084 3844 Got file: "980u_2_4.jpg"
INFO 2012-08-17 17:29:50,828 views 3084 1084 Got file: "980u_3_2.jpg"
